ID,Nom ,Âge,Salaire,Date Embauche,Note performance,Durée contrat,Départ
121,David ,56,35 795€,11 July 2017,5,douze mois,0
15,JACQUES, 60 ,96820$,12/04/2019,2,douze mois,1
57,Benjamin,36,57194euros,2019.03.14,3,365 jours,0
204,Emmanuel ,53,80263 €,2020/09/15,4,1 an,0
330,Cécile,39,84820 €,2016.11.24,5,365 jours,0
220,Noël,61,84925 €,20 July 2015,2,douze mois,0
185,Hortense,cinquante,25311$,2019/02/27,5,12 mois,0
55,Marcel,50,73707$,2017/11/28,3,365 jours,0
96,Anne,61,113016$,2021.07.05,2,1 an,0
146,Lucas,59,38431 €,2016-11-18,2,1 an,1
72,Jérôme,cinquante,79150 €,17/05/2024,3,1 année,0
32,Alix,64,55773 €,24 June 2015,2,douze mois,0
105,Alex,20,89092euros,2022-07-08,3,12 mois,1
315,Nicolas ,38,100 038€,June 2018,1,1 année,0
62,Jean,42,93 969€,20 April 2016,3,douze mois,0
85,Daniel,43,88 148€,14 March 2020,2,365 jours,1
259,Martin,45,43483$,11/07/2018,2,365 jours,0
21,Victor, 25 ,100077 €,December 2018,3,12 mois,0
86,Eugène,57,109475$,2017.03.18,3,12 mois,0
327,JULIE, 23 ,98953$,29/09/2024,3,1 année,0
246,Marguerite ,46,65758$,2023.01.12,4,1 an,0
196,Jeannine,61,85697euros,2024-12-29,3,1 an,0
259,Joseph,53,52 606€,11 November 2019,5,12 mois,0
283,Madeleine,trente,114663 €,07 November 2017,3,1 année,0
309,Sébastien ,57,109812euros,27/11/2023,3,1 année,0
209,Alix ,quarante-cinq,94065 €,March 2023,3,1 année,0
194,Caroline, 41 ,32185euros,11 December 2020,5,365 jours,0
317,Juliette ,62,58044$,February 2023,4,1 an,0
160,Thierry,18,68 984€,2016-10-25,5,douze mois,0
174,Laurence,41,82592euros,November 2018,2,1 an,0
43,Audrey,quarante-cinq,68190 €,March 2016,4,365 jours,0
299,Richard,34,53159$,27/02/2022,4,365 jours,0
87,Daniel , 50 ,32666 €,2020-07-23,1,12 mois,1
318,Margot,56,84 505€,20/10/2023,2,12 mois,0
47,Nath,24,28392$,2021.12.23,3,douze mois,1
30,PÉNÉLOPE,cinquante,72256 €,2019/01/16,1,1 an,1
316,Anne,40,97373euros,2017/07/08,3,12 mois,0
292,FRANCK,52,104 651€,2016-08-22,3,douze mois,0
187,Rémy,44,90592 €,2016/01/07,3,1 an,0
191,Bertrand,64,99 309€,24 February 2023,4,douze mois,0
23,Claude,22,118 806€,25 November 2022,4,douze mois,0
139,Alex,56,20206 €,2022.03.27,3,1 année,0
6,jules,59,43 419€,2021-08-02,2,365 jours,0
231,Colette,49,74268euros,2020.12.30,3,12 mois,0
112,Zacharie, 47 ,100356 €,2021.04.20,2,douze mois,0
85,Aimé ,62,87 214€,2020/01/04,4,1 an,0
82,Agathe,53,75820$,08/02/2025,1,1 an,0
199,Benjamin,cinquante,95450 €,October 2017,3,1 an,0
244,Constance,45,63585$,17/10/2019,3,1 année,0
86,Clémence,23,115003euros,2017/02/21,4,365 jours,0
344,Aurore,61,45939 €,2021-04-10,4,12 mois,0
288,Anouk, 28 ,38047euros,2016/06/24,4,365 jours,1
293,Gilles,45,41 976€,15 February 2018,3,1 année,0
161,ADÉLAÏDE,50,50080$,2018/09/25,2,1 année,0
114,CHRISTELLE,30,75016 €,27 December 2016,3,12 mois,0
33,Olivier,23,41959 €,2017.08.16,3,1 an,0
324,Christelle,54,117504 €,May 2018,2,douze mois,0
180,Sylvie,61,86199 €,April 2021,5,1 année,0
16,Agnès,49,115839$,29 April 2021,3,12 mois,0
336,André,trente,74384 €,08/04/2023,1,1 an,0
192,Sabine ,29,72 733€,January 2017,3,1 année,0
26,Margot,20,43664$,31 August 2019,2,12 mois,1
33,Geneviève,34,46736euros,2023-05-01,5,douze mois,0
65,Françoise,45,20854 €,May 2019,2,douze mois,1
69,Jean,50,75680$,05 September 2023,2,1 année,0
193,Nicolas,19,107092euros,28 July 2016,3,1 an,0
19,Arthur ,49,46309 €,2020.06.12,2,12 mois,0
69,Zacharie, 21 ,72662euros,2023/06/14,4,douze mois,0
68,Adrienne ,34,45 342€,2023.07.30,4,1 année,0
143,Simone,22,72083euros,2018.02.25,5,douze mois,0
299,Hugues,39,54698euros,2019/07/16,4,1 année,0
15,Aurélie,33,45184euros,2022.05.28,2,douze mois,0
140,Susanne ,23,71663$,2018-04-11,1,365 jours,1
224,Margaud,37,22811euros,2016/12/05,3,12 mois,0
47,michel,36,54 754€,23 November 2020,4,12 mois,0
236,Antoine,trente,31411$,21/09/2024,3,1 année,0
320,Dorothée,58,104896$,2016.07.10,3,douze mois,0
136,Patrick,56,31 111€,2017/05/19,2,douze mois,1
116,Antoine, 45 ,93656$,2017-12-25,2,365 jours,0
264,Gabriel,40,41918 €,2024.04.25,4,1 année,0
322,Inès , 52 ,36646euros,December 2022,3,12 mois,0
112,Vincent,43,110735$,19 January 2021,3,douze mois,0
341,Dorothée,19,51616euros,01 July 2023,1,douze mois,1
285,Madeleine,quarante-cinq,40932$,December 2023,5,douze mois,0
205,anouk,26,27400$,2017/02/01,3,365 jours,1
95,Paulette, 33 ,86690$,2024-10-31,4,1 an,0
325,Hélène,50,32183euros,April 2023,4,12 mois,0
95,THÉODORE,25,25539 €,13 April 2020,4,douze mois,1
220,Lorraine,37,68354 €,22 June 2017,3,1 année,0
292,Pauline,42,102018$,19/10/2020,5,1 an,0
218,Michelle,35,66 975€,26/10/2016,3,365 jours,0
171,Grégoire ,cinquante,97505$,2024/09/02,3,12 mois,0
95,Philippine,33,70108euros,2021-08-17,2,12 mois,1
205,Henri, 50 ,58467euros,2015-09-08,2,12 mois,0
323,Virginie , 38 ,106831$,2017.12.11,4,365 jours,0
168,SABINE,25,66214euros,2018.05.03,4,douze mois,0
155,Constance,50,90091euros,2025/05/08,3,douze mois,0
252,Philippine,39,39830$,2016/09/06,2,12 mois,1
230,Dorothée ,trente,99909euros,November 2017,5,douze mois,0
151,François ,25,39738euros,2016-12-18,3,1 an,1
118,Louise,38,74045euros,2018-02-04,3,douze mois,0
105,Adrien ,64,25 600€,02/06/2024,2,365 jours,1
192,Odette,36,76835 €,24 October 2016,1,1 année,1
163,Paulette,trente,93744euros,04 October 2021,5,365 jours,0
312,Agnès ,47,63 484€,04 June 2020,2,365 jours,1
124,Laurence,23,67202 €,09/12/2018,4,douze mois,0
254,Astrid,54,38711 €,15 December 2017,3,12 mois,0
206,Anastasie,63,65 236€,December 2019,3,12 mois,0
251,Bertrand,50,85 726€,31 August 2016,3,douze mois,0
284,Tristan ,49,26102euros,04 November 2023,2,1 année,1
121,Zoé,20,46641euros,2022-12-10,3,12 mois,0
261,Gabriel,48,43093euros,2022-03-04,3,1 an,0
303,Matthieu,57,71885euros,18 June 2020,1,365 jours,0
252,Stéphanie,49,24014$,July 2019,5,1 an,0
259,Paul,19,76958euros,2025/01/30,3,douze mois,1
149,Camille ,19,65017euros,01/08/2021,4,1 année,0
168,Élodie,50,98069 €,12/03/2018,3,1 an,0
30,Gérard,cinquante,74748euros,01 October 2016,2,1 année,0
166,Adrienne,43,70 993€,21/10/2019,4,douze mois,0
294,Olivie, 30 ,108891euros,2016-07-19,3,1 an,0
198,Henriette,53,90316 €,2018.07.05,2,1 année,1
6,François,25,26655 €,13 October 2019,3,1 année,1
88,Christophe ,cinquante,96429 €,05/09/2022,4,12 mois,0
89,Susanne ,40,33403euros,07/10/2016,3,365 jours,0
301,Thibaut ,49,30966 €,August 2015,3,1 an,0
181,Olivie,42,72921euros,2021.06.14,3,1 an,0
136,Audrey,39,75 609€,September 2016,4,365 jours,0
67,Brigitte ,59,73006 €,29 March 2022,3,1 année,0
250,Roland,54,100 135€,17/12/2017,4,1 année,0
244,Agathe,61,68747euros,2019/11/27,3,12 mois,0
67,Inès,cinquante,107235euros,2017/05/13,4,1 an,0
189,Marcelle,49,76179$,25 April 2023,3,12 mois,0
52,Éléonore,52,59734$,2025-05-10,2,365 jours,0
212,Stéphanie,33,114476 €,2017.10.19,5,douze mois,0
181,Marcelle,59,103613 €,15 March 2022,1,365 jours,0
319,michèle,36,48251euros,2021.03.23,4,365 jours,0
207,NOËL,43,110 852€,November 2022,2,365 jours,0
262,Bertrand,40,21 150€,08 December 2022,3,1 an,0
142,Rémy,18,86 617€,30 January 2017,5,1 année,0
58,Élise,64,66175 €,April 2021,3,12 mois,0
289,GILBERT,42,65543euros,2016/01/04,5,douze mois,0
229,Dominique, 18 ,23343euros,2021.06.04,3,1 année,1
253,Thibaut,22,79638$,2017/08/18,1,12 mois,1
343,Margot, 43 ,87215 €,08/12/2015,2,12 mois,0
247,christiane,39,104 664€,2016-03-07,3,365 jours,0
25,Christiane , 45 ,74340$,2021.11.04,1,1 an,0
157,Arthur,47,115981 €,17/12/2020,5,1 an,0
82,Claire,22,115435 €,03/05/2022,1,douze mois,1
187,Aurélie ,cinquante,55247euros,2021.11.06,4,12 mois,0
82,Christine,53,82752$,2019.07.01,3,12 mois,0
116,Émile,54,46 646€,2021-08-05,1,1 année,0
249,Lucy,22,117 379€,2017/04/16,1,douze mois,1
285,Marcel ,48,85417 €,December 2023,3,douze mois,0
328,Catherine,cinquante,29 823€,25 October 2023,4,douze mois,0
282,Bertrand,22,36364euros,November 2017,2,1 année,1
3,Jérôme,41,77679euros,2022-06-21,3,12 mois,0
344,Roger ,cinquante,114704 €,28/03/2024,4,douze mois,0
115,ÉDITH,49,80 890€,January 2018,4,365 jours,0
157,Mathilde, 29 ,92369 €,2016.06.26,3,365 jours,0
31,Amélie,50,24 000€,2024/12/11,4,douze mois,0
156,Guillaume,60,117 856€,2016.08.24,5,365 jours,0
30,FRÉDÉRIQUE,27,102986 €,2023/11/06,2,12 mois,1
307,Jean , 30 ,106 027€,2019-05-12,2,douze mois,0
177,Frédérique,19,117 532€,2024-03-27,1,1 an,1
227,Tristan,52,47350euros,2015.08.16,1,1 année,0
143,Gilbert,25,108668euros,2016.04.01,4,365 jours,0
321,CÉLINA,43,96 797€,09/07/2022,4,365 jours,0
203,Agathe,58,40358euros,29 November 2016,2,1 année,0
105,Maryse,62,31338 €,2019-02-07,4,1 année,1
12,Patrick ,trente,53496 €,2023.01.17,4,1 année,0
80,Édith, 53 ,64425 €,10/07/2021,3,douze mois,0
222,Nicolas,41,67295euros,2017.04.19,3,1 année,0
28,Thierry,52,105999$,2017-02-08,2,douze mois,0
230,Christiane,56,54911$,27/04/2024,3,12 mois,0
10,Claude ,49,81 476€,21/03/2016,2,1 année,0
