FIRST_NAME,LAST_NAME,DATE_OF_BIRTH,NAS,ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default_payment_next_month,random_noise,LIMIT_BAL_copy
Serge,Bouvier,1971-10-11,268-422-655,3,90000.0,2,2,2,34.0,0,0,0,0,0,0,29239.0,14027,13559,14331,14948,15549,1518.0,1500,1000,1000,1000,5000,0,0.7567527643329707,94500.0
Etienne,Bonnet,1968-09-16,799-194-461,4,50000.0,2,2,1,37.0,0,0,0,0,0,0,46990.0,48233,49291,28314,28959,29547,2000.0,2019,1200,1100,1069,1000,0,0.9408408548724128,52500.0
Philippe,Legrand,1948-10-02,746-705-665,5,50000.0,1,2,1,57.0,-1,0,-1,0,0,0,8617.0,5670,35835,20940,19146,19131,2000.0,36681,10000,9000,689,679,0,0.7030224923011751,52500.0
Julie,Noël,1968-10-01,693-563-880,6,50000.0,1,1,2,37.0,0,0,0,0,0,0,64400.0,57069,57608,19394,19619,20024,2500.0,1815,657,1000,1000,800,0,0.5844243546717784,52500.0
Michel,Roux,1976-10-06,900-746-769,7,,1,1,2,29.0,0,0,0,0,0,0,367965.0,412023,445007,542653,483003,473944,55000.0,40000,38000,20239,13750,13770,0,1.2943102887089502,
Serge,Lefevre,1982-10-02,610-366-425,8,100000.0,2,2,2,23.0,0,-1,-1,0,0,-1,11876.0,380,601,221,-159,567,380.0,601,0,581,1687,1542,0,-0.462223834190373,105000.0
Joseph,Lebesgue,1977-10-03,888-899-232,9,140000.0,2,3,1,28.0,0,0,2,0,0,0,11285.0,14096,12108,12211,11793,3719,3329.0,0,432,1000,1000,1000,0,-1.0778701778804594,147000.0
André,Brun,1970-10-06,461-448-646,10,20000.0,99,3,2,35.0,-2,-2,-2,-2,-1,-1,0.0,0,0,0,13007,13912,0.0,0,0,13007,1122,0,0,-1.8145577674010624,21000.0
Jacques,Lemoine,1971-10-19,862-658-367,11,200000.0,2,3,2,34.0,0,0,2,0,0,-1,11073.0,9787,5535,2513,1828,3731,2306.0,12,50,300,3738,66,0,0.2884882158562749,210000.0
Jacques,Mercier,1954-10-28,904-143-377,12,260000.0,2,1,2,51.0,-1,-1,-1,-1,-1,2,12261.0,21670,9966,8517,22287,13668,21818.0,9966,8583,22301,0,3640,0,0.6618078664517064,273000.0
Michèle,Roux,1964-10-18,238-954-410,13,630000.0,2,2,2,41.0,-1,0,-1,-1,-1,-1,12137.0,6500,6500,6500,6500,2870,1000.0,6500,6500,6500,2870,0,0,0.7879889066429226,661500.0
Sandrine,Dubois,1976-10-27,336-365-269,15,250000.0,1,1,2,29.0,0,0,0,0,0,0,70887.0,67060,63561,59696,56875,55512,3000.0,3000,3000,3000,3000,3000,0,-1.191627709114197,262500.0
Virginie,Lemoine,1982-09-07,315-216-337,16,50000.0,2,3,3,23.0,1,2,0,0,0,0,50614.0,29173,28116,28771,29531,30211,0.0,1500,1100,1200,1300,1100,0,-0.4707747804815703,52500.0
Michèle,Lefebvre,1956-10-29,355-855-947,18,320000.0,1,1,1,49.0,0,0,0,-1,-1,-1,253286.0,246536,194663,70074,5856,195599,10358.0,10000,75940,20000,195599,50000,0,-0.681220936304296,336000.0
Pierre,Lemoine,1956-11-09,943-533-515,19,360000.0,2,1,1,49.0,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0.1556589711318868,378000.0
Sylvie,Lebesgue,1976-10-31,187-333-708,20,180000.0,2,1,2,29.0,1,-2,-2,-2,-2,-2,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,-0.3827559301698887,189000.0
Marie,Noël,1966-10-01,629-210-820,21,130000.0,2,3,2,39.0,0,0,0,0,0,-1,38358.0,27688,24489,20616,11802,930,3000.0,1537,1000,2000,930,33764,0,-0.4358521379835205,136500.0
Michèle,Legrand,1982-09-22,952-676-734,25,90000.0,1,1,2,23.0,0,0,0,-1,0,0,4744.0,7070,0,5398,6360,8292,5757.0,0,5398,1200,2045,2000,0,0.3949671469299255,94500.0
Stéphanie,Couderc,1982-09-16,337-463-508,26,50000.0,1,3,2,23.0,0,0,0,0,0,0,47620.0,41810,36023,28967,29829,30046,1973.0,1426,1001,1432,1062,997,0,0.2417822282427429,52500.0
Fabienne,Couderc,1975-10-28,734-386-317,28,50000.0,2,3,2,30.0,0,0,0,0,0,0,22541.0,16138,17163,17878,18931,19617,1300.0,1300,1000,1500,1000,1012,0,0.4935309795480566,52500.0
Marie,Lefevre,1958-10-10,502-321-444,29,50000.0,2,3,1,47.0,-1,-1,-1,-1,-1,-1,650.0,3415,3416,2040,30430,257,3415.0,3421,2044,30430,257,0,0,0.2487804210423769,52500.0
Michel,Lafrance,1979-10-19,583-212-117,30,50000.0,1,1,2,26.0,0,0,0,0,0,0,15329.0,16575,17496,17907,18375,11400,1500.0,1500,1000,1000,1600,0,0,-1.25893864650252,52500.0
Christophe,Moreau,1978-09-23,551-318-260,31,230000.0,2,1,2,27.0,-1,-1,-1,-1,-1,-1,16646.0,17265,13266,15339,14307,36923,17270.0,13281,15339,14307,37292,0,0,-1.4004573111406915,241500.0
Nathalie,Deschamps,1973-09-15,169-106-100,33,100000.0,1,1,2,32.0,0,0,0,0,0,0,93036.0,84071,82880,80958,78703,75589,3023.0,3511,3302,3204,3200,2504,0,0.7669037727018375,105000.0
Sylvie,Roux,1951-09-26,969-198-698,34,500000.0,2,2,1,54.0,-2,-2,-2,-2,-2,-2,218580.0,4152,22722,7521,71439,8981,4152.0,22827,7521,71439,981,51582,0,0.0431420548016903,525000.0
Georges,Martin,1947-10-05,691-414-133,35,,1,1,1,58.0,-2,-2,-2,-2,-2,-2,13709.0,5006,31130,3180,0,5293,5006.0,31178,3180,0,5293,768,0,1.1869910009352849,
Alain,Lefevre,2010-09-09,325-578-590,36,160000.0,1,1,2,-5.0,-1,-1,-2,-2,-2,-1,30265.0,-131,-527,-923,-1488,-1884,131.0,396,396,565,792,0,0,0.9759650437382762,168000.0
Dominique,Thiebault,1965-09-20,322-791-619,37,280000.0,1,2,1,40.0,0,0,0,0,0,0,186503.0,181328,180422,170410,173901,177413,8026.0,8060,6300,6400,6400,6737,0,0.1628227297059262,294000.0
Catherine,Lebesgue,1983-09-07,342-187-579,38,60000.0,2,2,2,22.0,0,0,0,0,0,-1,15054.0,9806,11068,6026,-28335,18660,1500.0,1518,2043,0,47671,617,0,1.0196112558873571,63000.0
Isabelle,Delatour,1962-10-19,408-754-639,40,280000.0,1,1,2,,-1,-1,2,-1,0,-1,498.0,9075,4641,9976,17976,9477,9075.0,0,9976,8000,9525,781,0,1.7523629866281132,294000.0
Philippe,Noël,1972-10-10,567-241-189,41,360000.0,1,1,2,33.0,0,0,0,0,0,0,218668.0,221296,206895,628699,195969,179224,10000.0,7000,6000,188840,28000,4000,0,0.1180080117979267,378000.0
Pierre,Olivier,1980-10-31,797-412-279,42,70000.0,2,1,2,25.0,0,0,0,0,0,0,67521.0,66999,63949,63699,64718,65970,3000.0,4500,4042,2500,2800,2500,0,-1.0593478001408052,73500.0
Laurent,Gillet,1983-09-28,648-101-133,43,10000.0,1,2,2,22.0,0,0,0,0,0,0,1877.0,3184,6003,3576,3670,4451,1500.0,2927,1000,300,1000,500,0,0.1974027526000369,10500.0
Marc,Renault,1968-11-04,413-325-684,44,140000.0,2,2,1,37.0,0,0,0,0,0,0,59504.0,61544,62925,64280,67079,69802,3000.0,3000,3000,4000,4000,3000,0,0.767093944171096,147000.0
Michel,Guedon,1975-10-07,463-984-606,45,40000.0,2,1,2,30.0,0,0,0,2,0,0,18927.0,21295,25921,25209,26636,29197,,5000,0,2000,3000,0,0,0.8204941678181261,42000.0
Paul,Dubois,1973-09-29,215-213-641,49,380000.0,1,2,2,32.0,-1,-1,-1,-1,-1,-1,22401.0,21540,15134,32018,11849,11873,21540.0,15138,24677,11851,11875,8251,0,-0.5373161307087028,399000.0
Serge,Fontaine,1981-10-11,694-578-819,50,20000.0,1,1,2,24.0,0,0,0,0,0,0,17447.0,18479,19476,19865,20480,20063,1318.0,1315,704,928,912,1069,0,-0.7912852341196669,21000.0
Martine,Bouvier,1962-10-28,206-414-797,52,100000.0,2,3,3,43.0,0,0,0,0,0,0,61559.0,51163,43824,39619,35762,33258,2000.0,1606,1500,2000,1500,1000,0,-0.1234575705110162,105000.0
Sophie,Mercier,1956-10-25,987-251-761,53,310000.0,2,2,1,49.0,-2,-2,-2,-2,-2,-2,13465.0,7867,7600,11185,3544,464,7875.0,7600,11185,3544,464,0,0,1.6042238152044723,325500.0
Georges,Lemoine,1980-10-16,259-174-448,54,180000.0,2,1,2,25.0,1,2,0,0,0,0,41402.0,41742,42758,43510,44420,45319,1300.0,2010,1762,1762,1790,1622,0,-0.1029728785953167,189000.0
Véronique,Renaud,1960-10-22,781-286-955,55,150000.0,2,1,2,,2,0,0,0,0,0,924480.0,34993,31434,26518,21042,16540,1600.0,1718,1049,1500,2000,5000,0,0.2382758889722565,157500.0
Paul,Leroy,1960-10-18,438-922-488,56,500000.0,2,1,1,45.0,-2,-2,-2,-2,-2,-2,1905.0,3640,162,0,151,2530,3640.0,162,0,151,2530,0,0,0.6061396920568981,525000.0
Danielle,Rousseau,1971-11-06,593-268-924,57,180000.0,2,3,1,34.0,0,0,0,-1,-1,-1,,15793,8441,7142,-679,8321,8500.0,1500,7500,679,9000,2000,0,0.4928004679028142,189000.0
Marie,Delatour,1971-10-18,152-356-671,58,180000.0,2,2,1,34.0,0,0,0,0,0,0,175886.0,173440,172308,168608,132202,129918,8083.0,7296,5253,4814,4816,3800,0,0.6684342723231746,189000.0
Monique,Martin,1971-11-01,321-687-145,59,200000.0,2,1,2,34.0,-1,3,2,2,2,2,1587.0,1098,782,1166,700,1414,0.0,0,700,0,1200,0,0,-0.0597918143567029,210000.0
Catherine,Deschamps,1976-09-22,359-114-948,60,400000.0,2,2,1,29.0,0,0,0,0,0,0,400134.0,398857,404205,360199,356656,364089,17000.0,15029,30000,12000,12000,23000,0,-0.117317929737915,420000.0
Marc,Fontaine,2010-09-03,727-111-100,62,70000.0,1,2,1,-5.0,0,0,0,0,0,-1,70800.0,72060,69938,16518,14096,830,4025.0,2095,1000,2000,3000,0,0,-0.5217224054947369,73500.0
Julie,Bernard,1954-09-28,176-641-813,65,130000.0,2,2,1,51.0,-1,-1,-2,-2,-1,-1,99.0,0,0,0,2353,0,0.0,0,0,2353,0,0,0,0.3754779433267494,136500.0
Olivier,Hubbard,1975-10-10,940-149-741,68,210000.0,2,1,2,30.0,2,-1,-1,-1,-1,-1,300.0,300,1159,2280,300,4250,300.0,1159,2280,300,4250,909,0,1.961393978527927,220500.0
Véronique,Bonnet,1976-10-31,105-174-445,69,130000.0,2,3,2,29.0,1,-2,-2,-1,2,-1,-190.0,-9850,-9850,10311,10161,7319,0.0,0,20161,0,7319,13899,0,1.0205164069698496,136500.0
François,Beaumont,1983-10-31,959-432-777,70,20000.0,1,5,2,22.0,2,0,0,0,0,0,18565.0,17204,17285,18085,11205,5982,0.0,1200,1000,500,1000,0,0,-0.8829624070519068,21000.0
Sandrine,Guedon,1974-09-10,943-950-373,71,80000.0,1,1,2,31.0,-1,-1,-1,-1,-1,-1,780.0,0,390,390,390,390,0.0,390,390,390,390,390,0,0.4878048915345702,84000.0
Virginie,Bonnet,1973-11-02,609-767-367,73,200000.0,2,2,1,32.0,-1,-1,-1,-1,2,-1,9076.0,5787,-684,5247,3848,3151,5818.0,15,9102,17,3165,1395,0,-0.3468043233278214,210000.0
Sophie,Lebesgue,1968-10-28,579-407-816,74,290000.0,2,1,2,37.0,1,-2,-1,-1,-1,-1,0.0,0,3155,0,2359,0,0.0,3155,0,2359,0,0,0,-0.2698022342467197,304500.0
Marie,Fontaine,1963-09-25,855-698-711,75,340000.0,1,1,2,,-1,-1,-1,-1,-1,-1,3048.0,5550,23337,4291,80153,25820,5713.0,23453,4314,80552,25949,2016,0,0.3663371407214553,357000.0
Anne,Roux,1981-10-11,797-321-377,76,20000.0,1,2,2,24.0,0,0,2,0,0,0,14619.0,17216,16642,16976,17332,18543,2850.0,0,610,630,1500,0,0,-0.361627733081823,21000.0
Dominique,Moreau,1980-10-12,457-784-417,77,50000.0,1,3,2,25.0,-1,0,0,0,0,0,42838.0,37225,36087,9636,9590,10030,1759.0,1779,320,500,1000,1000,0,-0.2353415508081819,52500.0
Sophie,Marechal,2010-10-11,141-166-291,78,300000.0,2,1,1,-5.0,-1,-1,-1,-1,-1,-1,291.0,291,291,291,291,291,291.0,291,291,291,291,291,0,-0.9223529086195464,315000.0
Etienne,Bouvier,1972-10-03,242-253-193,81,470000.0,2,3,3,33.0,0,0,0,0,0,0,165254.0,157784,162702,69923,29271,29889,6400.0,7566,3000,960,1000,3000,0,-0.0302945016648243,493500.0
Martine,Lafrance,1979-10-03,296-477-706,82,360000.0,2,1,2,26.0,0,0,0,0,0,-1,,27796,30400,33100,180000,196,4796.0,3400,3100,146900,196,2963,0,0.0690241918779867,378000.0
Danielle,Meunier,1961-10-29,482-860-633,84,400000.0,2,2,1,44.0,0,0,2,0,0,0,131595.0,139060,126819,104430,104990,94058,10700.0,3,3050,3000,3200,2800,0,0.6626723780088138,420000.0
Laure,Durand,1956-10-18,665-588-736,85,50000.0,2,3,2,49.0,0,0,0,0,0,0,48909.0,47863,21489,20414,19342,19482,1676.0,1302,700,699,849,826,0,-1.7484240494454346,52500.0
Claire,Lefebvre,1972-09-21,925-818-792,86,160000.0,1,2,2,33.0,0,0,0,0,0,0,130028.0,107808,71934,118418,118407,120418,4400.0,3547,80000,4500,4800,4500,0,0.2756306554040494,168000.0
Sandrine,Marechal,1973-09-24,966-886-261,88,160000.0,2,2,2,32.0,0,0,0,0,0,-1,3826.0,4751,6604,8604,7072,766,1147.0,2000,2000,0,766,2303,0,-0.996599933659592,168000.0
Véronique,Lefebvre,1970-10-08,565-497-377,89,130000.0,2,1,1,35.0,0,0,0,-1,-1,-1,81313.0,117866,17740,1330,7095,1190,40000.0,5000,1330,7095,1190,2090,0,-2.185050442405738,136500.0
Didier,Leroy,1961-10-12,571-240-734,90,20000.0,1,3,2,44.0,2,2,0,0,0,2,171660.0,8303,9651,10488,12314,11970,0.0,1651,1000,2000,0,1500,0,1.089974030088727,21000.0
Philippe,Hubbard,1966-10-20,803-667-909,92,280000.0,2,1,2,39.0,-1,-1,-1,0,0,-2,7524.0,0,3968,3868,0,0,0.0,3968,0,0,0,0,0,0.4000983479592029,294000.0
Julie,Thiebault,1978-09-26,346-933-802,93,,2,1,2,27.0,-2,-2,-2,-2,-2,-2,-2000.0,5555,0,0,0,0,7555.0,0,0,0,0,0,0,1.8428393339995008,
Véronique,Gillet,1968-09-25,269-318-133,94,160000.0,2,2,1,37.0,-1,-1,-1,-1,-1,-2,880.0,1602,840,840,0,0,1602.0,840,840,0,0,7736,0,0.4843237747203225,168000.0
André,Mercier,1982-09-27,384-509-506,95,60000.0,2,2,2,23.0,0,0,0,0,0,0,45648.0,46850,47214,19595,19209,19323,1937.0,1301,682,690,816,835,0,0.7338671271930987,63000.0
Virginie,Lafrance,1970-09-26,135-473-364,96,90000.0,1,2,2,35.0,0,0,0,0,0,0,83725.0,85996,87653,35565,30942,30835,3621.0,3597,1179,1112,1104,1143,0,-1.7542553200058584,94500.0
Michel,Bonnet,1962-11-03,952-397-839,97,,1,1,1,43.0,-1,-1,-1,-1,-1,0,3967.0,8322,3394,6451,26370,9956,8339.0,3394,12902,27000,0,68978,0,0.7715583408334219,
