nom_complet,genre,pays,age,revenu_annuel,type_abonnement,duree_abonnement_mois,nb_connexions_mensuelles,dernier_dispositif,derniere_connexion,churn,jour_semaine,mois
Juan Reed,Femme,Belgique,50.0,43826.83,Standard,4.8,19,SmartTV,2025-06-22 02:50:37,1,6,6
Yolanda David DVM,Femme,Algérie,20.0,33698.53,Familial,11.6,21,PC,2025-04-12 21:20:10,0,5,4
Mark May,Femme,France,57.0,62953.26,Standard,11.7,31,Tablette,2025-01-15 13:11:23,0,2,1
Christopher Richardson,Femme,Algérie,57.0,43161.83,Standard,13.1,22,SmartTV,2025-07-06 13:24:16,0,6,7
Ronald Jones,Femme,Maroc,68.0,59701.25,Premium,1.1,18,Mobile,2025-04-09 19:57:32,0,2,4
Natalie Martinez,Femme,Belgique,52.0,45494.62,Standard,26.5,21,PC,2025-04-20 23:06:07,0,6,4
Alyssa Oliver,Femme,Maroc,49.0,19788.55,Premium,33.3,24,Mobile,2025-06-15 08:24:47,0,6,6
Jason Vaughn,Femme,France,59.0,50984.83,Standard,31.2,22,SmartTV,2025-01-20 07:54:43,1,0,1
Dean Mahoney,Homme,Maroc,26.0,43945.01,Standard,3.9,20,Mobile,2025-05-28 10:23:19,0,2,5
Dustin Smith,Homme,Maroc,34.0,69558.91,Premium,14.1,17,Mobile,2025-07-09 10:53:12,0,2,7
Elizabeth Hebert,Homme,Maroc,53.0,21392.04,Standard,16.4,35,Mobile,2025-01-05 16:03:45,1,6,1
Edward Kirk,Homme,Maroc,24.0,40822.76,Premium,10.6,33,Mobile,2025-04-05 15:50:37,0,5,4
Elizabeth Morris,Homme,Canada,41.0,50247.97,Familial,50.9,22,Inconnu,2025-03-08 19:16:08,0,5,3
Joshua Rodriguez,Femme,Belgique,65.0,61463.13,Familial,15.0,17,Mobile,2025-06-15 23:22:27,1,6,6
Alicia Smith,Femme,Maroc,44.0,72813.07,Standard,17.9,20,Tablette,2025-01-30 16:44:20,0,3,1
Miss Stephanie Ramirez,Femme,Belgique,66.0,41125.19,Standard,1.1,20,Mobile,2025-06-02 13:52:39,0,0,6
Teresa Smith,Homme,Maroc,57.0,47621.35,Standard,4.9,31,SmartTV,2025-07-07 12:51:52,0,0,7
Kristina Webb,Femme,France,42.0,27037.59,Standard,13.8,16,PC,2025-03-29 16:08:38,0,5,3
