ID,Nom ,Âge,Salaire,Date Embauche,Note performance,Durée contrat,Départ
121,David ,56,35 795€,11-Jul-17,5,douze mois,0
15,JACQUES,60,96820$,12/4/2019,2,douze mois,1
57,Benjamin,36,57194euros,2019.03.14,3,365 jours,0
204,Emmanuel ,53,80263 €,9/15/2020,4,1 an,0
330,Cécile,39,84820 €,2016.11.24,5,365 jours,0
220,Noël,61,84925 €,20-Jul-15,2,douze mois,0
185,Hortense,cinquante,25311$,2/27/2019,5,12 mois,0
55,Marcel,50,73707$,11/28/2017,3,365 jours,0
96,Anne,61,113016$,2021.07.05,2,1 an,0
146,Lucas,59,38431 €,11/18/2016,2,1 an,1
72,Jérôme,cinquante,79150 €,17/05/2024,3,1 année,0
32,Alix,64,55773 €,24-Jun-15,2,douze mois,0
105,Alex,20,89092euros,7/8/2022,3,12 mois,1
315,Nicolas ,38,100 038€,Jun-18,1,1 année,0
62,Jean,42,93 969€,20-Apr-16,3,douze mois,0
85,Daniel,43,88 148€,14-Mar-20,2,365 jours,1
259,Martin,45,43483$,11/7/2018,2,365 jours,0
21,Victor,25,100077 €,Dec-18,3,12 mois,0
86,Eugène,57,109475$,2017.03.18,3,12 mois,0
327,JULIE,23,98953$,29/09/2024,3,1 année,0
246,Marguerite ,46,65758$,2023.01.12,4,1 an,0
196,Jeannine,61,85697euros,12/29/2024,3,1 an,0
259,Joseph,53,52 606€,11-Nov-19,5,12 mois,0
283,Madeleine,trente,114663 €,7-Nov-17,3,1 année,0
309,Sébastien ,57,109812euros,27/11/2023,3,1 année,0
209,Alix ,quarante-cinq,94065 €,Mar-23,3,1 année,0
194,Caroline,41,32185euros,11-Dec-20,5,365 jours,0
317,Juliette ,62,58044$,Feb-23,4,1 an,0
160,Thierry,18,68 984€,10/25/2016,5,douze mois,0
174,Laurence,41,82592euros,Nov-18,2,1 an,0
43,Audrey,quarante-cinq,68190 €,Mar-16,4,365 jours,0
299,Richard,34,53159$,27/02/2022,4,365 jours,0
87,Daniel ,50,32666 €,7/23/2020,1,12 mois,1
318,Margot,56,84 505€,20/10/2023,2,12 mois,0
47,Nath,24,28392$,2021.12.23,3,douze mois,1
30,PÉNÉLOPE,cinquante,72256 €,1/16/2019,1,1 an,1
316,Anne,40,97373euros,7/8/2017,3,12 mois,0
292,FRANCK,52,104 651€,8/22/2016,3,douze mois,0
187,Rémy,44,90592 €,1/7/2016,3,1 an,0
191,Bertrand,64,99 309€,24-Feb-23,4,douze mois,0
23,Claude,22,118 806€,25-Nov-22,4,douze mois,0
139,Alex,56,20206 €,2022.03.27,3,1 année,0
6,jules,59,43 419€,8/2/2021,2,365 jours,0
231,Colette,49,74268euros,2020.12.30,3,12 mois,0
112,Zacharie,47,100356 €,2021.04.20,2,douze mois,0
85,Aimé ,62,87 214€,1/4/2020,4,1 an,0
82,Agathe,53,75820$,8/2/2025,1,1 an,0
199,Benjamin,cinquante,95450 €,Oct-17,3,1 an,0
244,Constance,45,63585$,17/10/2019,3,1 année,0
86,Clémence,23,115003euros,2/21/2017,4,365 jours,0
344,Aurore,61,45939 €,4/10/2021,4,12 mois,0
288,Anouk,28,38047euros,6/24/2016,4,365 jours,1
293,Gilles,45,41 976€,15-Feb-18,3,1 année,0
161,ADÉLAÏDE,50,50080$,9/25/2018,2,1 année,0
114,CHRISTELLE,30,75016 €,27-Dec-16,3,12 mois,0
