client_id,nom_complet,age,revenu_mensuel,sexe,profession,adresse,date_achat,produit,achat
1001,Mathilde Benoit,52,3791.07,F,étudiant,"444, rue Henry, 00816 Gilles-sur-Boulanger",2024-01-07,D171,1
1002,Tristan Lesage,77,2788.56,F,retraité,"8, chemin de Charpentier, 09672 Sainte Émilie-la-Forêt",2023-10-21,B222,1
1003,Tristan Boutin,18,2684.59,M,autre,"84, avenue Toussaint, 64092 Fischer-sur-Gautier",2023-09-12,D540,0
1004,William-Alain Girard,54,3384.79,F,ingénieur,"32, chemin de Alexandre, 62783 Bigot",2024-10-31,C922,1
1005,Alfred du Gimenez,50,3318.88,M,étudiant,"46, rue Lesage, 20085 LaineBourg",2024-01-23,C106,0
1006,Antoine Robert,29,1629.67,M,ingénieur,"5, boulevard Marthe Samson, 83954 Saint Yves",2025-01-08,A517,0
1007,Gilles Martins,71,3152.81,M,médecin,"73, avenue Roux, 56005 Sainte Adélaïdeboeuf",2024-11-11,C226,1
1008,Maryse Petit,39,2326.44,M,autre,"13, rue de Dupont, 25514 Raynaud",2023-08-23,C966,1
1009,Alfred Besson,18,3821.93,F,retraité,"25, rue de Cordier, 08982 Ollivier-sur-Pruvost",2025-01-06,D796,0
1010,Aurore Dupont-Seguin,69,1989.26,F,ingénieur,"chemin Julie Vincent, 99924 Laine-sur-Voisin",2024-02-17,D236,0
1011,Georges Lesage,31,4826.16,F,étudiant,"9, rue de Grenier, 01970 Voisinnec",2024-05-18,C145,0
1012,Claire Bouvier,61,3701.16,M,étudiant,"161, boulevard Astrid Valette, 33149 Sainte Françoisedan",2025-05-30,A287,1
1013,Emmanuelle du François,34,4878.07,F,comptable,"4, boulevard de Vincent, 64397 Sainte Hélène",2025-01-08,A582,1
1014,René Labbé,43,2899.0,M,autre,"84, rue Langlois, 34975 Faivre",2024-08-17,D687,1
1015,Maryse de la Wagner,26,2668.66,F,ingénieur,"50, rue de Vaillant, 07208 MassonVille",2024-12-05,A249,1
1016,Charlotte-Célina Martinez,30,3185.85,F,comptable,"30, rue Xavier Lévy, 50398 Perrier",2024-11-13,A356,0
1017,Michelle Lenoir,18,3155.43,F,retraité,"777, avenue de Millet, 87221 TexierBourg",2024-02-03,C378,0
1018,Michel-Guillaume Brun,69,2457.35,M,enseignant,"13, rue Christelle Perret, 11781 Dumont",2024-06-27,B834,1
1019,Laurence Pineau-Royer,39,3401.37,M,enseignant,"rue Boulay, 54648 Sainte ChristopheBourg",2024-06-03,C405,1
